date,product,category,quantity,unit_price,total
2025-01-05,Laptop Pro 15,Electronics,2,1299.00,2598.00
2025-01-07,Wireless Mouse,Accessories,15,29.99,449.85
2025-01-08,USB-C Hub,Accessories,8,49.99,399.92
2025-01-10,Monitor 27",Electronics,3,399.00,1197.00
2025-01-12,Keyboard Mechanical,Accessories,10,89.99,899.90
2025-01-15,Laptop Pro 15,Electronics,1,1299.00,1299.00
2025-01-18,Webcam HD,Accessories,12,79.99,959.88
2025-01-20,Laptop Air 13,Electronics,4,999.00,3996.00
2025-01-22,Wireless Mouse,Accessories,20,29.99,599.80
2025-01-25,Headphones Pro,Audio,7,249.99,1749.93
2025-01-28,USB-C Hub,Accessories,5,49.99,249.95
2025-02-01,Monitor 27",Electronics,2,399.00,798.00
2025-02-03,Laptop Pro 15,Electronics,3,1299.00,3897.00
2025-02-05,Keyboard Mechanical,Accessories,8,89.99,719.92
2025-02-08,Speakers Desktop,Audio,6,129.99,779.94
2025-02-10,Wireless Mouse,Accessories,25,29.99,749.75
2025-02-12,Webcam HD,Accessories,10,79.99,799.90
2025-02-15,Laptop Air 13,Electronics,2,999.00,1998.00
2025-02-18,Monitor 32",Electronics,1,599.00,599.00
2025-02-20,Headphones Pro,Audio,5,249.99,1249.95
2025-02-22,USB-C Hub,Accessories,12,49.99,599.88
2025-02-25,Laptop Pro 15,Electronics,2,1299.00,2598.00
2025-03-01,Keyboard Mechanical,Accessories,15,89.99,1349.85
2025-03-03,Monitor 27",Electronics,4,399.00,1596.00
2025-03-05,Wireless Mouse,Accessories,18,29.99,539.82
2025-03-08,Speakers Desktop,Audio,4,129.99,519.96
2025-03-10,Webcam HD,Accessories,8,79.99,639.92
2025-03-12,Laptop Air 13,Electronics,3,999.00,2997.00
2025-03-15,Headphones Pro,Audio,9,249.99,2249.91
2025-03-18,USB-C Hub,Accessories,10,49.99,499.90
2025-03-20,Laptop Pro 15,Electronics,1,1299.00,1299.00
2025-03-22,Monitor 32",Electronics,2,599.00,1198.00
2025-03-25,Keyboard Mechanical,Accessories,6,89.99,539.94
